AccX,AccY,AccZ
0.29987340049230937,-0.10533883631583765,-1.0546720340914086
0.31487711239728683,-0.1079337971583716,-1.0422926682660691
0.31618044777013754,-0.10899365469321326,-1.0311483667683317
0.32004074191674386,-0.10791811023438973,-1.0260282627737614
0.3169601512162914,-0.11074682726696891,-1.0292878163819061
0.3378170516724001,-0.13556013146153922,-0.9970985930389196
0.3471922725674228,-0.1578951322362,-0.9871312481475167
0.35320232981538663,-0.1617518913049783,-0.9624765801022677
0.3578471880171966,-0.15638234413665245,-0.9472550197583762
0.3424099884280562,-0.16160032532307783,-0.9396913002009102
0.32804987991583895,-0.1608964049122181,-0.9556850519791908
0.3227645116045267,-0.1516919718425348,-0.9768481777140325
0.3088904748235311,-0.1247801629420821,-1.0028247403339423
0.2844386312307708,-0.13096078715656181,-1.011909422902268
0.2910642321339383,-0.12589149984615455,-0.9939592319647115
0.29092967861810115,-0.12346931555294186,-1.0045801224316797
0.3241403393057205,-0.13521311872020014,-1.0020892410208793
0.34770794069060507,-0.14437952688262892,-1.0024292589767616
0.35297770375767,-0.14772839871606974,-1.007613906847964
0.3312948494918322,-0.1420195928963648,-1.019656915183129
0.27400459887800976,-0.12401296809935602,-1.0405720145308992
0.1724521729011183,-0.09046838300088561,-1.072372935439917
0.01798279254607582,-0.03814569627679609,-1.117073408458825
